[(439, -434)]
[(439, -434)]
[(414, -513)]
[(414, -365)]
[(404, -339)]
[(390, -353)]
[(365, -436)]
[(365, -375)]
[(364, -313)]
[(331, -431)]
[(327, -308)]
[(282, -333)]
[(244, -481)]
[(220, -574)]
[(214, -474)]
[(202, -521)]
[(200, -488)]
[(198, -455)]
[(190, -487)]
[(186, -508)]
[(186, -514)]
[(186, -514)]
[(187, -519)]
[(187, -519)]
[(186, -515)]
[(186, -515)]
[(176, -434)]
[(173, -460)]
[(173, -460), (245, 838)]
[(175, -488), (240, 826)]
[(178, -532), (281, 1392)]
[(174, -551), (397, 3175)]
[(180, -641), (394, 3172)]
[(172, -672)]
[(154, -744)]
[(154, -739)]
[(149, -692)]
[(110, -504), (2092, 4922)]
[(87, -610), (1989, 4588)]
[(72, -471), (2057, 4943)]
[(30, -413), (1998, 4841)]
[(6, -543), (1900, 4518)]
[(-8, -619), (1810, 4222)]
[(-25, -500), (1848, 4437)]
[(-25, -500), (1848, 4437)]
[(-51, -459), (1816, 4464)]
[(-64, -442), (1795, 4480)]
[(-69, -409), (1832, 4702)]
[(-72, -427), (1770, 4486)]
[(-72, -427), (1711, 4281)]
[(-74, -409), (1728, 4382)]
[(-74, -409), (1728, 4382)]
[(-74, -409), (1688, 4282)]
[(-74, -409), (1675, 4280)]
[(-74, -409), (1677, 4369)]
[(-74, -409), (1677, 4369)]
[(-74, -409), (1693, 4470)]
[(-71, -390), (1664, 4364)]
[(-69, -407), (1636, 4262)]
[(-69, -407), (1636, 4262)]
[(-63, -408), (1652, 4363)]
[(-58, -408), (1624, 4264)]
[(-58, -408), (1624, 4264)]
[(-58, -406), (1624, 4264)]
[(-59, -408), (1598, 4168)]
[(-56, -425), (1597, 4165)]
[(-56, -425), (1597, 4165)]
[(-56, -425), (1570, 4067)]
[(-53, -408), (1570, 4067)]
[(-53, -408), (1570, 4064)]
[(-53, -408), (1570, 4061)]
[(-53, -408), (1567, 3962)]
[(-53, -408), (1591, 4050)]
[(-53, -408), (1602, 4043)]
[(-53, -406), (1558, 3760)]
[(-53, -406), (1634, 4026)]
[(-53, -406), (1634, 4026)]
[(-53, -408), (1589, 3744)]
[(-53, -406), (1614, 3626)]
[(-53, -408), (1717, 3967)]
[(-51, -390), (1713, 3749)]
[(-51, -390), (1649, 3390)]
[(-51, -390), (1726, 3633)]
[(-51, -390), (1726, 3633)]
[(-50, -392), (1747, 3624)]
[(-50, -392), (1747, 3624)]
[(-48, -410), (1737, 3518)]
[(-48, -410), (1729, 3416)]
[(-48, -410), (1729, 3416)]
[(-48, -410), (1678, 3145)]
[(-48, -410), (1686, 3131)]
[(-48, -410), (1735, 3277)]
[(-48, -410), (1758, 3346)]
[(-48, -410), (1723, 3167)]
[(-48, -410), (1711, 3001)]
[(-48, -410), (1677, 2828)]
[(-48, -410), (1723, 2961)]
[(-48, -410), (1691, 2800)]
[(-48, -410), (1691, 2657)]
[(-48, -412), (1782, 2912)]
[(-48, -412), (1782, 2912)]
[(-48, -410), (1815, 2832)]
[(-48, -410), (1815, 2832)]
[(-48, -410), (1847, 2712)]
[(-48, -410), (1568, 1300)]
[(-48, -410), (1568, 1300)]
[(-48, -412), (1135, -708)]
[(-48, -410), (1992, 2712)]
[(-48, -410), (1992, 2712)]
[(-48, -410), (1992, 2712)]
[(-48, -410), (1979, 2587)]
[(-48, -410), (2030, 2710)]
[(-48, -410), (1983, 2527)]
[(-48, -410), (2028, 2590)]
[(-48, -410), (2016, 2471)]
